w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;
0.55732;-0.06561;1.46582;1.90147;-0.19087;-0.50046;-1.38068;0.91933;0.72362;0.55702;2.42890;2.86451;-1.10034;0.45539;-0.54997;3.14029;3.57129;-0.08219;
0.55551;-0.06678;1.49602;1.93208;-0.16148;-0.46723;-1.36018;0.92990;0.74320;0.59177;2.47044;2.90892;-1.11694;0.43521;-0.57057;3.14337;3.57437;-0.08085;
0.55462;-0.06695;1.52706;1.96355;-0.16575;-0.46725;-1.35567;0.92068;0.74293;0.59956;2.47862;2.92017;-1.13069;0.41884;-0.58748;3.16985;3.60085;-0.10618;
0.55332;-0.06741;1.55747;1.99443;-0.17057;-0.46726;-1.35273;0.91028;0.74123;0.60797;2.48896;2.93357;-1.14259;0.40499;-0.60201;3.19711;3.62811;-0.13235;
0.55111;-0.06864;1.58958;2.02704;-0.20822;-0.49940;-1.36545;0.88039;0.72009;0.58995;2.46675;2.91476;-1.14944;0.39779;-0.61008;3.24710;3.67810;-0.18425;
0.54947;-0.06911;1.61772;2.05574;-0.18153;-0.46633;-1.35144;0.88570;0.73363;0.62670;2.51675;2.96756;-1.16085;0.38482;-0.62399;3.25404;3.68504;-0.18712;
0.54694;-0.07031;1.64776;2.08636;-0.18731;-0.46508;-1.35291;0.87167;0.72792;0.63700;2.53425;2.98825;-1.16710;0.37864;-0.63133;3.28329;3.71429;-0.21530;
0.54402;-0.07177;1.67758;2.11676;-0.19295;-0.46319;-1.35548;0.85685;0.72126;0.64786;2.55390;3.01112;-1.17133;0.37519;-0.63614;3.31244;3.74344;-0.24341;
0.53824;-0.07597;1.70970;2.14946;-0.23037;-0.49284;-1.37249;0.82357;0.69627;0.63296;2.54113;3.00200;-1.16821;0.38142;-0.63156;3.36312;3.79412;-0.29594;
0.53681;-0.07575;1.73691;2.17721;-0.20272;-0.45728;-1.36234;0.82608;0.70653;0.67135;2.59897;3.06271;-1.17377;0.37651;-0.63820;3.36896;3.79996;-0.29807;
0.53239;-0.07851;1.76615;2.20695;-0.20625;-0.45315;-1.36555;0.81117;0.69950;0.68374;2.62344;3.09044;-1.17211;0.38123;-0.63552;3.39496;3.82596;-0.32327;
0.52736;-0.08191;1.79473;2.23596;-0.20854;-0.44824;-1.36777;0.79739;0.69346;0.69607;2.64807;3.11827;-1.16893;0.38828;-0.63074;3.41830;3.84930;-0.34586;
0.51824;-0.08948;1.82529;2.26689;-0.24062;-0.47367;-1.38143;0.76772;0.67170;0.68456;2.64070;3.11446;-1.15827;0.40579;-0.61585;3.45964;3.89064;-0.38911;
0.51575;-0.09048;1.85010;2.29202;-0.20974;-0.43661;-1.36752;0.77414;0.68548;0.71912;2.69468;3.17108;-1.16044;0.40676;-0.61745;3.45542;3.88642;-0.38155;
0.50978;-0.09504;1.87696;2.31915;-0.20937;-0.43056;-1.36483;0.76440;0.68333;0.72911;2.71523;3.19463;-1.15672;0.41638;-0.61069;3.46917;3.90017;-0.39460;
0.50430;-0.09919;1.90329;2.34573;-0.20902;-0.42488;-1.36077;0.75535;0.68184;0.73785;2.73353;3.21586;-1.15426;0.42514;-0.60493;3.48024;3.91124;-0.40504;
0.49622;-0.10596;1.93206;2.37471;-0.23866;-0.44934;-1.36790;0.72949;0.66388;0.72543;2.72215;3.20782;-1.14713;0.44125;-0.59206;3.50911;3.94011;-0.43587;
