1.16546;
0.69511;
0.33573;
0.31529;
0.30353;
0.29098;
0.27001;
0.23320;
0.18350;
0.13413;
0.11496;
0.13227;
0.14133;
0.11840;
0.11317;
0.11068;
0.12080;
0.10898;
0.10854;
0.10811;
0.12051;
0.10702;
0.10632;
0.10549;
0.11729;
0.10332;
0.10192;
0.10032;
0.10952;
0.09664;
0.09480;
0.09315;
0.10066;
0.09077;
0.09007;
0.08967;
0.09715;
0.08944;
0.08944;
0.08940;
0.09677;
0.08884;
0.08816;
0.08714;
0.09357;
0.08437;
0.08294;
0.08173;
0.08898;
0.08007;
0.07959;
0.07928;
0.08970;
0.08017;
0.08223;
0.08570;
0.10412;
0.09752;
0.10396;
0.10933;
0.14797;
0.11419;
0.11353;
0.11118;
0.14284;
0.09259;
0.07568;
0.24130;
0.03421;
0.02633;
0.02084;
0.02280;
0.02556;
0.02764;
0.03066;
0.03555;
0.04337;
0.06023;
0.04788;
0.02266;
0.01697;
0.01395;
0.01198;
0.01057;
0.00948;
0.00862;
0.00791;
0.00732;
0.00681;
0.00638;
0.00599;
0.00566;
0.00536;
0.00509;
